"train/global_step","hearty-leaf-10 - train/rewards/reward_fn/std","hearty-leaf-10 - train/rewards/reward_fn/std__MIN","hearty-leaf-10 - train/rewards/reward_fn/std__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"5","0.6659774303436279","0.6659774303436279","0.6659774303436279","50","50","50"
"10","0.5771148562431335","0.5771148562431335","0.5771148562431335","102","102","102"
"15","0.6978209912776947","0.6978209912776947","0.6978209912776947","154","154","154"
"20","0.4862655520439148","0.4862655520439148","0.4862655520439148","206","206","206"
"25","0.5268660068511963","0.5268660068511963","0.5268660068511963","258","258","258"
"30","0.6067678153514862","0.6067678153514862","0.6067678153514862","310","310","310"
"35","0.6392294764518738","0.6392294764518738","0.6392294764518738","362","362","362"
"40","0.5318865597248077","0.5318865597248077","0.5318865597248077","414","414","414"
"45","0.5525022685527802","0.5525022685527802","0.5525022685527802","466","466","466"
"50","0.6199799299240112","0.6199799299240112","0.6199799299240112","518","518","518"
"55","0.6460705161094665","0.6460705161094665","0.6460705161094665","570","570","570"
"60","0.6137599587440491","0.6137599587440491","0.6137599587440491","622","622","622"
"65","0.552338308095932","0.552338308095932","0.552338308095932","674","674","674"
"70","0.5238555252552033","0.5238555252552033","0.5238555252552033","726","726","726"
"75","0.6467595338821411","0.6467595338821411","0.6467595338821411","778","778","778"
"80","0.5941946625709533","0.5941946625709533","0.5941946625709533","830","830","830"
"85","0.5643220365047454","0.5643220365047454","0.5643220365047454","882","882","882"
"90","0.5352948606014252","0.5352948606014252","0.5352948606014252","934","934","934"
"95","0.5039541721343994","0.5039541721343994","0.5039541721343994","986","986","986"
"100","0.5936636805534363","0.5936636805534363","0.5936636805534363","1038","1038","1038"
"105","0.5339828133583069","0.5339828133583069","0.5339828133583069","1090","1090","1090"
"110","0.576121163368225","0.576121163368225","0.576121163368225","1142","1142","1142"
"115","0.6067407131195068","0.6067407131195068","0.6067407131195068","1194","1194","1194"
"120","0.5929225385189056","0.5929225385189056","0.5929225385189056","1246","1246","1246"
"125","0.5914768695831298","0.5914768695831298","0.5914768695831298","1298","1298","1298"
"130","0.46241084337234495","0.46241084337234495","0.46241084337234495","1350","1350","1350"
"135","0.5526110053062439","0.5526110053062439","0.5526110053062439","1402","1402","1402"
"140","0.5697408497333527","0.5697408497333527","0.5697408497333527","1454","1454","1454"
"145","0.8852224946022034","0.8852224946022034","0.8852224946022034","1506","1506","1506"
"150","0.7156140685081482","0.7156140685081482","0.7156140685081482","1558","1558","1558"
"155","0.5566786468029022","0.5566786468029022","0.5566786468029022","1610","1610","1610"
"160","0.5830930054187775","0.5830930054187775","0.5830930054187775","1662","1662","1662"
"165","0.5937401354312897","0.5937401354312897","0.5937401354312897","1714","1714","1714"
"170","0.8639465868473053","0.8639465868473053","0.8639465868473053","1766","1766","1766"
"175","0.5880148112773895","0.5880148112773895","0.5880148112773895","1818","1818","1818"
"180","0.5744367241859436","0.5744367241859436","0.5744367241859436","1870","1870","1870"
"185","0.5324081480503082","0.5324081480503082","0.5324081480503082","1922","1922","1922"
"190","0.9197579324245453","0.9197579324245453","0.9197579324245453","1974","1974","1974"
"195","0.646090292930603","0.646090292930603","0.646090292930603","2026","2026","2026"
"200","0.6026232600212097","0.6026232600212097","0.6026232600212097","2078","2078","2078"
"205","0.5741354763507843","0.5741354763507843","0.5741354763507843","2130","2130","2130"
"210","0.8931440234184265","0.8931440234184265","0.8931440234184265","2182","2182","2182"
"215","0.5445435822010041","0.5445435822010041","0.5445435822010041","2234","2234","2234"
"220","0.8342384338378906","0.8342384338378906","0.8342384338378906","2286","2286","2286"
"225","0.7687721431255341","0.7687721431255341","0.7687721431255341","2338","2338","2338"
"230","0.6455962777137756","0.6455962777137756","0.6455962777137756","2390","2390","2390"
"235","0.5618484437465667","0.5618484437465667","0.5618484437465667","2442","2442","2442"
"240","0.9039420127868653","0.9039420127868653","0.9039420127868653","2494","2494","2494"
"245","0.5276518881320953","0.5276518881320953","0.5276518881320953","2546","2546","2546"
"250","0.5652795672416687","0.5652795672416687","0.5652795672416687","2598","2598","2598"
"255","0.5750987529754639","0.5750987529754639","0.5750987529754639","2650","2650","2650"
"260","0.5133278608322144","0.5133278608322144","0.5133278608322144","2702","2702","2702"
"265","0.4764478921890259","0.4764478921890259","0.4764478921890259","2754","2754","2754"
"270","0.9122161269187927","0.9122161269187927","0.9122161269187927","2806","2806","2806"
"275","0.5856293976306916","0.5856293976306916","0.5856293976306916","2858","2858","2858"
"280","0.6406069695949554","0.6406069695949554","0.6406069695949554","2910","2910","2910"
"285","0.6049277186393738","0.6049277186393738","0.6049277186393738","2962","2962","2962"
"290","0.6288819909095764","0.6288819909095764","0.6288819909095764","3014","3014","3014"
"295","0.5691506743431092","0.5691506743431092","0.5691506743431092","3066","3066","3066"
"300","0.6039712786674499","0.6039712786674499","0.6039712786674499","3118","3118","3118"
"305","0.5438305854797363","0.5438305854797363","0.5438305854797363","3170","3170","3170"
"310","0.7614185154438019","0.7614185154438019","0.7614185154438019","3222","3222","3222"
"315","0.5121163129806519","0.5121163129806519","0.5121163129806519","3274","3274","3274"
"320","0.6082539975643158","0.6082539975643158","0.6082539975643158","3326","3326","3326"
"325","0.6044031381607056","0.6044031381607056","0.6044031381607056","3378","3378","3378"
"330","0.6516832828521728","0.6516832828521728","0.6516832828521728","3430","3430","3430"
"335","0.5946088194847107","0.5946088194847107","0.5946088194847107","3482","3482","3482"
"340","0.6236050844192504","0.6236050844192504","0.6236050844192504","3534","3534","3534"
"345","0.6545639753341674","0.6545639753341674","0.6545639753341674","3586","3586","3586"
"350","0.8964801907539368","0.8964801907539368","0.8964801907539368","3638","3638","3638"
"355","0.5602808773517609","0.5602808773517609","0.5602808773517609","3690","3690","3690"
"360","0.5989641070365905","0.5989641070365905","0.5989641070365905","3742","3742","3742"
"365","0.6043331444263458","0.6043331444263458","0.6043331444263458","3794","3794","3794"
"370","0.8439419031143188","0.8439419031143188","0.8439419031143188","3846","3846","3846"
"375","0.5435511112213135","0.5435511112213135","0.5435511112213135","3898","3898","3898"
"380","0.6504327178001403","0.6504327178001403","0.6504327178001403","3950","3950","3950"
"385","0.5826345562934876","0.5826345562934876","0.5826345562934876","4002","4002","4002"
"390","0.591674268245697","0.591674268245697","0.591674268245697","4054","4054","4054"
"395","0.7346803843975067","0.7346803843975067","0.7346803843975067","4106","4106","4106"
"400","0.8053197383880615","0.8053197383880615","0.8053197383880615","4158","4158","4158"
"405","0.9783816814422608","0.9783816814422608","0.9783816814422608","4210","4210","4210"
"410","0.4575555264949799","0.4575555264949799","0.4575555264949799","4262","4262","4262"
"415","0.5236785769462585","0.5236785769462585","0.5236785769462585","4314","4314","4314"
"420","0.6292011260986328","0.6292011260986328","0.6292011260986328","4366","4366","4366"
"425","0.5821027874946594","0.5821027874946594","0.5821027874946594","4418","4418","4418"
"430","0.5539607644081116","0.5539607644081116","0.5539607644081116","4470","4470","4470"
"435","0.6207018256187439","0.6207018256187439","0.6207018256187439","4522","4522","4522"
"440","0.6939411878585815","0.6939411878585815","0.6939411878585815","4574","4574","4574"
"445","0.6134162068367004","0.6134162068367004","0.6134162068367004","4626","4626","4626"
"450","1.0066564440727235","1.0066564440727235","1.0066564440727235","4678","4678","4678"
"455","0.5575794279575348","0.5575794279575348","0.5575794279575348","4730","4730","4730"
"460","1.0148826718330384","1.0148826718330384","1.0148826718330384","4782","4782","4782"
"465","0.8220763564109802","0.8220763564109802","0.8220763564109802","4834","4834","4834"
