"train/global_step","hearty-leaf-10 - train/reward","hearty-leaf-10 - train/reward__MIN","hearty-leaf-10 - train/reward__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"5","-0.08962198793888092","-0.08962198793888092","-0.08962198793888092","50","50","50"
"10","-0.3465399116277695","-0.3465399116277695","-0.3465399116277695","102","102","102"
"15","0.5376322761178016","0.5376322761178016","0.5376322761178016","154","154","154"
"20","-0.49392359852790835","-0.49392359852790835","-0.49392359852790835","206","206","206"
"25","-0.46586803793907167","-0.46586803793907167","-0.46586803793907167","258","258","258"
"30","0.7228986114263535","0.7228986114263535","0.7228986114263535","310","310","310"
"35","-0.3155975639820099","-0.3155975639820099","-0.3155975639820099","362","362","362"
"40","-0.3671894073486328","-0.3671894073486328","-0.3671894073486328","414","414","414"
"45","-0.5142817676067353","-0.5142817676067353","-0.5142817676067353","466","466","466"
"50","-0.35359993278980256","-0.35359993278980256","-0.35359993278980256","518","518","518"
"55","-0.3122925668954849","-0.3122925668954849","-0.3122925668954849","570","570","570"
"60","-0.35686460733413694","-0.35686460733413694","-0.35686460733413694","622","622","622"
"65","-0.4189657628536224","-0.4189657628536224","-0.4189657628536224","674","674","674"
"70","0.6148445680737495","0.6148445680737495","0.6148445680737495","726","726","726"
"75","-0.2948048934340477","-0.2948048934340477","-0.2948048934340477","778","778","778"
"80","-0.282514888048172","-0.282514888048172","-0.282514888048172","830","830","830"
"85","0.5923479795455933","0.5923479795455933","0.5923479795455933","882","882","882"
"90","0.607662770152092","0.607662770152092","0.607662770152092","934","934","934"
"95","-0.38803220391273496","-0.38803220391273496","-0.38803220391273496","986","986","986"
"100","-0.1545705869793892","-0.1545705869793892","-0.1545705869793892","1038","1038","1038"
"105","-0.31967092454433443","-0.31967092454433443","-0.31967092454433443","1090","1090","1090"
"110","-0.3756838798522949","-0.3756838798522949","-0.3756838798522949","1142","1142","1142"
"115","-0.42508567571640016","-0.42508567571640016","-0.42508567571640016","1194","1194","1194"
"120","-0.2852150797843933","-0.2852150797843933","-0.2852150797843933","1246","1246","1246"
"125","0.6321015238761902","0.6321015238761902","0.6321015238761902","1298","1298","1298"
"130","-0.5302442014217377","-0.5302442014217377","-0.5302442014217377","1350","1350","1350"
"135","-0.4935448199510574","-0.4935448199510574","-0.4935448199510574","1402","1402","1402"
"140","-0.39828040897846223","-0.39828040897846223","-0.39828040897846223","1454","1454","1454"
"145","0.4802864443510771","0.4802864443510771","0.4802864443510771","1506","1506","1506"
"150","0.5791005253791809","0.5791005253791809","0.5791005253791809","1558","1558","1558"
"155","-0.4860030174255371","-0.4860030174255371","-0.4860030174255371","1610","1610","1610"
"160","-0.39740809202194216","-0.39740809202194216","-0.39740809202194216","1662","1662","1662"
"165","-0.3653677374124527","-0.3653677374124527","-0.3653677374124527","1714","1714","1714"
"170","0.2848604112863541","0.2848604112863541","0.2848604112863541","1766","1766","1766"
"175","-0.3121843487024307","-0.3121843487024307","-0.3121843487024307","1818","1818","1818"
"180","-0.19407815858721733","-0.19407815858721733","-0.19407815858721733","1870","1870","1870"
"185","-0.3265467151999474","-0.3265467151999474","-0.3265467151999474","1922","1922","1922"
"190","1.177750712633133","1.177750712633133","1.177750712633133","1974","1974","1974"
"195","-0.2579752117395401","-0.2579752117395401","-0.2579752117395401","2026","2026","2026"
"200","-0.2938840389251709","-0.2938840389251709","-0.2938840389251709","2078","2078","2078"
"205","-0.34128243997693064","-0.34128243997693064","-0.34128243997693064","2130","2130","2130"
"210","0.18420139104127883","0.18420139104127883","0.18420139104127883","2182","2182","2182"
"215","0.7331845104694367","0.7331845104694367","0.7331845104694367","2234","2234","2234"
"220","0.490061317384243","0.490061317384243","0.490061317384243","2286","2286","2286"
"225","0.5267319843173027","0.5267319843173027","0.5267319843173027","2338","2338","2338"
"230","0.8210038915276527","0.8210038915276527","0.8210038915276527","2390","2390","2390"
"235","-0.34941184520721436","-0.34941184520721436","-0.34941184520721436","2442","2442","2442"
"240","1.486729934811592","1.486729934811592","1.486729934811592","2494","2494","2494"
"245","0.6287202388048172","0.6287202388048172","0.6287202388048172","2546","2546","2546"
"250","-0.29039117097854616","-0.29039117097854616","-0.29039117097854616","2598","2598","2598"
"255","-0.08373434767127037","-0.08373434767127037","-0.08373434767127037","2650","2650","2650"
"260","-0.11533234566450119","-0.11533234566450119","-0.11533234566450119","2702","2702","2702"
"265","-0.5023940205574036","-0.5023940205574036","-0.5023940205574036","2754","2754","2754"
"270","0.5147652149200439","0.5147652149200439","0.5147652149200439","2806","2806","2806"
"275","-0.22189165502786637","-0.22189165502786637","-0.22189165502786637","2858","2858","2858"
"280","-0.15302725583314897","-0.15302725583314897","-0.15302725583314897","2910","2910","2910"
"285","-0.15511589944362641","-0.15511589944362641","-0.15511589944362641","2962","2962","2962"
"290","-0.2145620733499527","-0.2145620733499527","-0.2145620733499527","3014","3014","3014"
"295","0.8559382051229477","0.8559382051229477","0.8559382051229477","3066","3066","3066"
"300","-0.17753921896219255","-0.17753921896219255","-0.17753921896219255","3118","3118","3118"
"305","-0.2973604127764702","-0.2973604127764702","-0.2973604127764702","3170","3170","3170"
"310","0.7275297574698925","0.7275297574698925","0.7275297574698925","3222","3222","3222"
"315","-0.2797456182539463","-0.2797456182539463","-0.2797456182539463","3274","3274","3274"
"320","-0.1428587779402733","-0.1428587779402733","-0.1428587779402733","3326","3326","3326"
"325","-0.15251289159059525","-0.15251289159059525","-0.15251289159059525","3378","3378","3378"
"330","-0.04339490085840225","-0.04339490085840225","-0.04339490085840225","3430","3430","3430"
"335","-0.23687770515680312","-0.23687770515680312","-0.23687770515680312","3482","3482","3482"
