"train/global_step","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std__MIN","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"1","0.5395796298980713","0.5395796298980713","0.5395796298980713","10","10","10"
"2","0.6440243124961853","0.6440243124961853","0.6440243124961853","22","22","22"
"3","0.7058328986167908","0.7058328986167908","0.7058328986167908","34","34","34"
"4","0.5580390095710754","0.5580390095710754","0.5580390095710754","46","46","46"
"5","0.5611042976379395","0.5611042976379395","0.5611042976379395","58","58","58"
"6","2.435246229171753","2.435246229171753","2.435246229171753","70","70","70"
"7","0.5734058022499084","0.5734058022499084","0.5734058022499084","82","82","82"
"8","0.4058271646499634","0.4058271646499634","0.4058271646499634","94","94","94"
"9","0.5656988024711609","0.5656988024711609","0.5656988024711609","106","106","106"
"10","0.594590961933136","0.594590961933136","0.594590961933136","118","118","118"
"11","0.6667709946632385","0.6667709946632385","0.6667709946632385","130","130","130"
"12","0.5366857051849365","0.5366857051849365","0.5366857051849365","142","142","142"
"13","0.62534099817276","0.62534099817276","0.62534099817276","154","154","154"
"14","2.5312671661376953","2.5312671661376953","2.5312671661376953","166","166","166"
"15","0.688995897769928","0.688995897769928","0.688995897769928","178","178","178"
"16","0.5961358547210693","0.5961358547210693","0.5961358547210693","190","190","190"
"17","0.665818989276886","0.665818989276886","0.665818989276886","202","202","202"
"18","0.6056670546531677","0.6056670546531677","0.6056670546531677","214","214","214"
"19","0.6284580826759338","0.6284580826759338","0.6284580826759338","226","226","226"
"20","0.578819990158081","0.578819990158081","0.578819990158081","238","238","238"
"21","0.5891135931015015","0.5891135931015015","0.5891135931015015","250","250","250"
"22","0.6734516024589539","0.6734516024589539","0.6734516024589539","262","262","262"
"23","0.6101686954498291","0.6101686954498291","0.6101686954498291","274","274","274"
"24","0.5097432732582092","0.5097432732582092","0.5097432732582092","286","286","286"
"25","0.6902111768722534","0.6902111768722534","0.6902111768722534","298","298","298"
"26","0.6446451544761658","0.6446451544761658","0.6446451544761658","310","310","310"
"27","0.5860416889190674","0.5860416889190674","0.5860416889190674","322","322","322"
"28","0.6806575059890747","0.6806575059890747","0.6806575059890747","334","334","334"
"29","0.6428766846656799","0.6428766846656799","0.6428766846656799","346","346","346"
"30","0.7540925145149231","0.7540925145149231","0.7540925145149231","358","358","358"
"31","0.6931083798408508","0.6931083798408508","0.6931083798408508","370","370","370"
"32","0.45249807834625244","0.45249807834625244","0.45249807834625244","382","382","382"
"33","2.5550191402435303","2.5550191402435303","2.5550191402435303","394","394","394"
"34","0.5097441077232361","0.5097441077232361","0.5097441077232361","406","406","406"
"35","0.6465640068054199","0.6465640068054199","0.6465640068054199","418","418","418"
"36","0.6578847169876099","0.6578847169876099","0.6578847169876099","430","430","430"
"37","0.5825438499450684","0.5825438499450684","0.5825438499450684","442","442","442"
"38","0.6563592553138733","0.6563592553138733","0.6563592553138733","454","454","454"
"39","0.617186963558197","0.617186963558197","0.617186963558197","466","466","466"
"40","0.6464054584503174","0.6464054584503174","0.6464054584503174","478","478","478"
"41","2.5213897228240967","2.5213897228240967","2.5213897228240967","490","490","490"
"42","0.702241837978363","0.702241837978363","0.702241837978363","502","502","502"
"43","0.7638033032417297","0.7638033032417297","0.7638033032417297","514","514","514"
"44","2.766937017440796","2.766937017440796","2.766937017440796","526","526","526"
"45","0.6475669741630554","0.6475669741630554","0.6475669741630554","538","538","538"
"46","0.6498126983642578","0.6498126983642578","0.6498126983642578","550","550","550"
"47","0.6195549964904785","0.6195549964904785","0.6195549964904785","562","562","562"
"48","0.5881856083869934","0.5881856083869934","0.5881856083869934","574","574","574"
"49","0.6511256098747253","0.6511256098747253","0.6511256098747253","586","586","586"
"50","0.6001564264297485","0.6001564264297485","0.6001564264297485","598","598","598"
"51","0.45967602729797363","0.45967602729797363","0.45967602729797363","610","610","610"
"52","0.6774000525474548","0.6774000525474548","0.6774000525474548","622","622","622"
"53","0.5334911942481995","0.5334911942481995","0.5334911942481995","634","634","634"
"54","0.5568617582321167","0.5568617582321167","0.5568617582321167","646","646","646"
"55","0.5158867835998535","0.5158867835998535","0.5158867835998535","658","658","658"
"56","0.4682658314704895","0.4682658314704895","0.4682658314704895","670","670","670"
"57","0.4558374285697937","0.4558374285697937","0.4558374285697937","682","682","682"
"58","0.48890915513038635","0.48890915513038635","0.48890915513038635","694","694","694"
"59","0.5981138348579407","0.5981138348579407","0.5981138348579407","706","706","706"
"60","0.510776698589325","0.510776698589325","0.510776698589325","718","718","718"
"61","2.6221258640289307","2.6221258640289307","2.6221258640289307","730","730","730"
"62","0.5970699191093445","0.5970699191093445","0.5970699191093445","742","742","742"
"63","0.5021122097969055","0.5021122097969055","0.5021122097969055","754","754","754"
"64","0.5633535385131836","0.5633535385131836","0.5633535385131836","766","766","766"
"65","0.47871389985084534","0.47871389985084534","0.47871389985084534","778","778","778"
"66","0.6464583873748779","0.6464583873748779","0.6464583873748779","790","790","790"
"67","0.5444598197937012","0.5444598197937012","0.5444598197937012","802","802","802"
"68","0.46951955556869507","0.46951955556869507","0.46951955556869507","814","814","814"
"69","0.6161879301071167","0.6161879301071167","0.6161879301071167","826","826","826"
"70","0.6520994305610657","0.6520994305610657","0.6520994305610657","838","838","838"
"71","0.618801474571228","0.618801474571228","0.618801474571228","850","850","850"
"72","2.5520095825195312","2.5520095825195312","2.5520095825195312","862","862","862"
"73","0.6244224309921265","0.6244224309921265","0.6244224309921265","874","874","874"
"74","0.33908993005752563","0.33908993005752563","0.33908993005752563","886","886","886"
"75","2.3587143421173096","2.3587143421173096","2.3587143421173096","898","898","898"
"76","0.47217467427253723","0.47217467427253723","0.47217467427253723","910","910","910"
"77","0.5720341205596924","0.5720341205596924","0.5720341205596924","922","922","922"
"78","0.620832085609436","0.620832085609436","0.620832085609436","934","934","934"
"79","0.7284460663795471","0.7284460663795471","0.7284460663795471","946","946","946"
"80","0.5349422097206116","0.5349422097206116","0.5349422097206116","958","958","958"
"81","0.5446230173110962","0.5446230173110962","0.5446230173110962","970","970","970"
"82","0.5801328420639038","0.5801328420639038","0.5801328420639038","982","982","982"
"83","0.5627804398536682","0.5627804398536682","0.5627804398536682","994","994","994"
"84","0.7501547336578369","0.7501547336578369","0.7501547336578369","1006","1006","1006"
"85","2.1030678749084473","2.1030678749084473","2.1030678749084473","1018","1018","1018"
"86","0.5917233824729919","0.5917233824729919","0.5917233824729919","1030","1030","1030"
"87","0.5843008160591125","0.5843008160591125","0.5843008160591125","1042","1042","1042"
"88","0.5942816734313965","0.5942816734313965","0.5942816734313965","1054","1054","1054"
"89","0.5864986777305603","0.5864986777305603","0.5864986777305603","1066","1066","1066"
"90","0.6257535219192505","0.6257535219192505","0.6257535219192505","1078","1078","1078"
"91","0.41135600209236145","0.41135600209236145","0.41135600209236145","1090","1090","1090"
"92","0.6047883629798889","0.6047883629798889","0.6047883629798889","1102","1102","1102"
"93","2.422717571258545","2.422717571258545","2.422717571258545","1114","1114","1114"
"94","0.7001199722290039","0.7001199722290039","0.7001199722290039","1126","1126","1126"
"95","2.550708055496216","2.550708055496216","2.550708055496216","1138","1138","1138"
"96","0.6623570322990417","0.6623570322990417","0.6623570322990417","1150","1150","1150"
"97","0.6189868450164795","0.6189868450164795","0.6189868450164795","1162","1162","1162"
"98","0.7361765503883362","0.7361765503883362","0.7361765503883362","1174","1174","1174"
"99","0.6503629088401794","0.6503629088401794","0.6503629088401794","1186","1186","1186"
"100","0.6237185597419739","0.6237185597419739","0.6237185597419739","1198","1198","1198"
"101","0.6283538937568665","0.6283538937568665","0.6283538937568665","1210","1210","1210"
"102","0.6649563312530518","0.6649563312530518","0.6649563312530518","1222","1222","1222"
"103","0.6133360862731934","0.6133360862731934","0.6133360862731934","1234","1234","1234"
"104","0.5251157879829407","0.5251157879829407","0.5251157879829407","1246","1246","1246"
"105","2.3712568283081055","2.3712568283081055","2.3712568283081055","1258","1258","1258"
"106","2.3632614612579346","2.3632614612579346","2.3632614612579346","1270","1270","1270"
"107","0.6713820099830627","0.6713820099830627","0.6713820099830627","1282","1282","1282"
"108","0.6205015778541565","0.6205015778541565","0.6205015778541565","1294","1294","1294"
"109","1.7386775016784668","1.7386775016784668","1.7386775016784668","1306","1306","1306"
"110","0.718066394329071","0.718066394329071","0.718066394329071","1318","1318","1318"
"111","0.6605875492095947","0.6605875492095947","0.6605875492095947","1330","1330","1330"
