"train/global_step","grpo_vastai_20260220_001219 - train/reward","grpo_vastai_20260220_001219 - train/reward__MIN","grpo_vastai_20260220_001219 - train/reward__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"1","-0.2561553120613098","-0.2561553120613098","-0.2561553120613098","10","10","10"
"2","-0.36280590295791626","-0.36280590295791626","-0.36280590295791626","22","22","22"
"3","-0.1816919445991516","-0.1816919445991516","-0.1816919445991516","34","34","34"
"4","-0.46990740299224854","-0.46990740299224854","-0.46990740299224854","46","46","46"
"5","-0.24452908337116241","-0.24452908337116241","-0.24452908337116241","58","58","58"
"6","2.074032783508301","2.074032783508301","2.074032783508301","70","70","70"
"7","-0.39165839552879333","-0.39165839552879333","-0.39165839552879333","82","82","82"
"8","-0.6649305820465088","-0.6649305820465088","-0.6649305820465088","94","94","94"
"9","-0.47573578357696533","-0.47573578357696533","-0.47573578357696533","106","106","106"
"10","-0.334697425365448","-0.334697425365448","-0.334697425365448","118","118","118"
"11","-0.27496692538261414","-0.27496692538261414","-0.27496692538261414","130","130","130"
"12","-0.43391504883766174","-0.43391504883766174","-0.43391504883766174","142","142","142"
"13","-0.3167496919631958","-0.3167496919631958","-0.3167496919631958","154","154","154"
"14","2.3160343170166016","2.3160343170166016","2.3160343170166016","166","166","166"
"15","-0.2541230320930481","-0.2541230320930481","-0.2541230320930481","178","178","178"
"16","-0.31127119064331055","-0.31127119064331055","-0.31127119064331055","190","190","190"
"17","-0.37597301602363586","-0.37597301602363586","-0.37597301602363586","202","202","202"
"18","-0.5828670263290405","-0.5828670263290405","-0.5828670263290405","214","214","214"
"19","-0.3311711549758911","-0.3311711549758911","-0.3311711549758911","226","226","226"
"20","-0.36404597759246826","-0.36404597759246826","-0.36404597759246826","238","238","238"
"21","-0.5282670259475708","-0.5282670259475708","-0.5282670259475708","250","250","250"
"22","-0.36503803730010986","-0.36503803730010986","-0.36503803730010986","262","262","262"
"23","-0.30038267374038696","-0.30038267374038696","-0.30038267374038696","274","274","274"
"24","-0.5512979030609131","-0.5512979030609131","-0.5512979030609131","286","286","286"
"25","-0.17529869079589844","-0.17529869079589844","-0.17529869079589844","298","298","298"
"26","-0.09295522421598434","-0.09295522421598434","-0.09295522421598434","310","310","310"
"27","-0.37154272198677063","-0.37154272198677063","-0.37154272198677063","322","322","322"
"28","-0.5274234414100647","-0.5274234414100647","-0.5274234414100647","334","334","334"
"29","-0.29067462682724","-0.29067462682724","-0.29067462682724","346","346","346"
"30","-0.30697688460350037","-0.30697688460350037","-0.30697688460350037","358","358","358"
"31","-0.3791853189468384","-0.3791853189468384","-0.3791853189468384","370","370","370"
"32","-0.5148485898971558","-0.5148485898971558","-0.5148485898971558","382","382","382"
"33","1.6852965354919434","1.6852965354919434","1.6852965354919434","394","394","394"
