  0%|                                                                                               | 0/1800 [00:00<?, ?it/s]Passing `generation_config` together with generation-related arguments=({'disable_compile'}) is deprecated and will be removed in future versions. Please pass either a `generation_config` object OR all generation parameters explicitly, but not both.
  5%|██▋                                                        | 82/1800 [10:35<3:29:41,  7.32s/it]                         
{'loss': '2.662e-05', 'grad_norm': '0.4093', 'learning_rate': '2.222e-07', 'num_tokens': '9907', 'completions/mean_length': '33.24', 'completions/min_length': '20.6', 'completions/max_length': '44.8', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '33.24', 'completions/min_terminated_length': '20.6', 'completions/max_terminated_length': '44.8', 'rewards/reward_fn/mean': '0.3874', 'rewards/reward_fn/std': '0.5102', 'reward': '0.3874', 'reward_std': '0.5102', 'frac_reward_zero_std': '0', 'kl': '0.000654', 'entropy': '1.433', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.19', 'epoch': '0.005556'}
{'loss': '3.984e-05', 'grad_norm': '0.4478', 'learning_rate': '5e-07', 'num_tokens': '2.001e+04', 'completions/mean_length': '32.89', 'completions/min_length': '20.2', 'completions/max_length': '48.4', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '32.89', 'completions/min_terminated_length': '20.2', 'completions/max_terminated_length': '48.4', 'rewards/reward_fn/mean': '-0.05977', 'rewards/reward_fn/std': '0.44', 'reward': '-0.05977', 'reward_std': '0.44', 'frac_reward_zero_std': '0', 'kl': '0.0009556', 'entropy': '1.618', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.51', 'epoch': '0.01111'}
{'loss': '3.755e-05', 'grad_norm': '0.4425', 'learning_rate': '7.778e-07', 'num_tokens': '2.972e+04', 'completions/mean_length': '31.93', 'completions/min_length': '20.2', 'completions/max_length': '46.8', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '31.93', 'completions/min_terminated_length': '20.2', 'completions/max_terminated_length': '46.8', 'rewards/reward_fn/mean': '1.202', 'rewards/reward_fn/std': '0.6785', 'reward': '1.202', 'reward_std': '0.6785', 'frac_reward_zero_std': '0', 'kl': '0.0009286', 'entropy': '1.449', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.332', 'epoch': '0.01667'}
{'loss': '3.691e-05', 'grad_norm': '0.3672', 'learning_rate': '1.056e-06', 'num_tokens': '3.982e+04', 'completions/mean_length': '31.36', 'completions/min_length': '19', 'completions/max_length': '48.4', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '31.36', 'completions/min_terminated_length': '19', 'completions/max_terminated_length': '48.4', 'rewards/reward_fn/mean': '0.08127', 'rewards/reward_fn/std': '0.4461', 'reward': '0.08127', 'reward_std': '0.4461', 'frac_reward_zero_std': '0', 'kl': '0.0009081', 'entropy': '1.4', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.593', 'epoch': '0.02222'}
{'loss': '3.462e-05', 'grad_norm': '0.3995', 'learning_rate': '1.333e-06', 'num_tokens': '5.15e+04', 'completions/mean_length': '34.27', 'completions/min_length': '21.4', 'completions/max_length': '48.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '34.27', 'completions/min_terminated_length': '21.4', 'completions/max_terminated_length': '48.6', 'rewards/reward_fn/mean': '-0.07806', 'rewards/reward_fn/std': '0.4323', 'reward': '-0.07806', 'reward_std': '0.4323', 'frac_reward_zero_std': '0', 'kl': '0.0008651', 'entropy': '1.26', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.654', 'epoch': '0.02778'}
{'loss': '3.744e-05', 'grad_norm': '0.3728', 'learning_rate': '1.611e-06', 'num_tokens': '6.123e+04', 'completions/mean_length': '33.26', 'completions/min_length': '21.4', 'completions/max_length': '49', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '33.26', 'completions/min_terminated_length': '21.4', 'completions/max_terminated_length': '49', 'rewards/reward_fn/mean': '1.137', 'rewards/reward_fn/std': '0.4664', 'reward': '1.137', 'reward_std': '0.4664', 'frac_reward_zero_std': '0', 'kl': '0.00093', 'entropy': '1.531', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.633', 'epoch': '0.03333'}
{'loss': '3.83e-05', 'grad_norm': '0.4502', 'learning_rate': '1.889e-06', 'num_tokens': '7.138e+04', 'completions/mean_length': '33.29', 'completions/min_length': '20', 'completions/max_length': '50', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '33.29', 'completions/min_terminated_length': '20', 'completions/max_terminated_length': '50', 'rewards/reward_fn/mean': '0.09138', 'rewards/reward_fn/std': '0.4258', 'reward': '0.09138', 'reward_std': '0.4258', 'frac_reward_zero_std': '0', 'kl': '0.0009436', 'entropy': '1.453', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.755', 'epoch': '0.03889'}
{'loss': '3.91e-05', 'grad_norm': '0.4133', 'learning_rate': '2.167e-06', 'num_tokens': '8.132e+04', 'completions/mean_length': '31.62', 'completions/min_length': '17.8', 'completions/max_length': '47.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '31.62', 'completions/min_terminated_length': '17.8', 'completions/max_terminated_length': '47.6', 'rewards/reward_fn/mean': '-0.03049', 'rewards/reward_fn/std': '0.4294', 'reward': '-0.03049', 'reward_std': '0.4294', 'frac_reward_zero_std': '0', 'kl': '0.0009971', 'entropy': '1.585', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.447', 'epoch': '0.04444'}
{'loss': '3.986e-05', 'grad_norm': '0.6016', 'learning_rate': '2.444e-06', 'num_tokens': '9.097e+04', 'completions/mean_length': '32.65', 'completions/min_length': '18.8', 'completions/max_length': '48.4', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '32.65', 'completions/min_terminated_length': '18.8', 'completions/max_terminated_length': '48.4', 'rewards/reward_fn/mean': '-0.1061', 'rewards/reward_fn/std': '0.4576', 'reward': '-0.1061', 'reward_std': '0.4576', 'frac_reward_zero_std': '0', 'kl': '0.0009735', 'entropy': '1.626', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.539', 'epoch': '0.05'}
{'loss': '3.968e-05', 'grad_norm': '0.4286', 'learning_rate': '2.722e-06', 'num_tokens': '1.014e+05', 'completions/mean_length': '31.1', 'completions/min_length': '17.8', 'completions/max_length': '48.6', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '31.1', 'completions/min_terminated_length': '17.8', 'completions/max_terminated_length': '48.6', 'rewards/reward_fn/mean': '0.2644', 'rewards/reward_fn/std': '0.6114', 'reward': '0.2644', 'reward_std': '0.6114', 'frac_reward_zero_std': '0', 'kl': '0.0009917', 'entropy': '1.444', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '7.582', 'epoch': '0.05556'}
{'loss': '4.344e-05', 'grad_norm': '0.4731', 'learning_rate': '3e-06', 'num_tokens': '1.11e+05', 'completions/mean_length': '34.34', 'completions/min_length': '19.6', 'completions/max_length': '54', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '34.34', 'completions/min_terminated_length': '19.6', 'completions/max_terminated_length': '54', 'rewards/reward_fn/mean': '0.3444', 'rewards/reward_fn/std': '0.4475', 'reward': '0.3444', 'reward_std': '0.4475', 'frac_reward_zero_std': '0', 'kl': '0.001082', 'entropy': '1.595', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '8.236', 'epoch': '0.06111'}
